127.0.0.1 - - [14/Aug/2020:11:53:17 +0900] "GET / HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:18 +0900] "GET / HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:18 +0900] "GET /favicon.ico HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /index HTTP/1.1" 200 17423
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=jpg2.jpg HTTP/1.1" 200 26805
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=PET.jpg HTTP/1.1" 200 86215
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=COUPLE.jpg HTTP/1.1" 200 274223
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=jpg5.jpg HTTP/1.1" 200 144335
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=gif5.gif HTTP/1.1" 200 125016
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=gif7.gif HTTP/1.1" 200 248573
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=introduce1.jpg HTTP/1.1" 200 19058
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=jpg8.jpg HTTP/1.1" 200 25458
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=jpg4.jpg HTTP/1.1" 200 115510
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=jpg6.jpg HTTP/1.1" 200 126015
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=family_package.jpg HTTP/1.1" 200 106210
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=friend_package.jpg HTTP/1.1" 200 439942
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=profile_package.jpg HTTP/1.1" 200 46730
0:0:0:0:0:0:0:1 - - [14/Aug/2020:11:53:23 +0900] "GET /display?fileName=couple_package.jpg HTTP/1.1" 200 57838
